10-01-2022 20:08:52.937 INFO  c.e.g.controller.CloneController.clone2RepoByBranch - /repos/clone/byBranch
10-01-2022 20:08:53.012 INFO  c.e.githubservice.service.GitService.clone2RepoByBranch - Cloning repo in 2 branches: master, hihii
10-01-2022 20:08:53.012 INFO  c.e.githubservice.service.GitService.cloneRepoByBranchName - Cloning repository OpenCart in branch master
10-01-2022 20:09:00.942 INFO  c.e.githubservice.service.GitService.cloneRepoByBranchName - Done cloning repository OpenCart in branch master
10-01-2022 20:09:00.942 INFO  c.e.githubservice.service.GitService.cloneRepoByBranchName - Cloning repository OpenCart in branch hihii
10-01-2022 20:09:07.762 INFO  c.e.githubservice.service.GitService.cloneRepoByBranchName - Done cloning repository OpenCart in branch hihii
10-01-2022 20:09:07.763 INFO  c.e.githubservice.service.GitService.clone2RepoByBranch - Done cloning repo in 2 branches: master, hihii
10-01-2022 20:09:07.963 INFO  c.e.g.service.VersionCompare.compare - C:\Users\thanh\Documents\JCIA-Microservices\project\anonymous\OpenCart-master
10-01-2022 20:09:07.964 INFO  c.e.g.service.VersionCompare.compare - C:\Users\thanh\Documents\JCIA-Microservices\project\anonymous\OpenCart-hihii
10-01-2022 20:09:07.965 INFO  c.e.g.service.VersionCompare.compare - 

10-01-2022 20:09:09.125 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model.Method.parameters
10-01-2022 20:09:09.126 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.Model.Method: 406
10-01-2022 20:09:09.126 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.126 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.Repository.BrandRepository.showAll()
10-01-2022 20:09:09.126 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.Repository.BrandRepository: 142
10-01-2022 20:09:09.127 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.127 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model.Method.setParameters(java.util.List<java.lang.String>)
10-01-2022 20:09:09.127 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.Model.Method: 406
10-01-2022 20:09:09.127 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.127 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model.NamedEntity.<init>
10-01-2022 20:09:09.128 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.Model.NamedEntity: 412
10-01-2022 20:09:09.128 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.128 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.ReadFile.ReadFile.visit.$1
10-01-2022 20:09:09.128 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.ReadFile.ReadFile.visit(java.lang.String): 452
10-01-2022 20:09:09.128 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.128 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.ReadFile.ReadFile.getFileContent(java.lang.String)
10-01-2022 20:09:09.128 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.ReadFile.ReadFile: 445
10-01-2022 20:09:09.129 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.129 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model.Field.Field(java.lang.String,java.lang.String,java.util.List<java.lang.String>)
10-01-2022 20:09:09.130 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.Model.Field: 403
10-01-2022 20:09:09.130 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.130 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.Controller.BrandController.customerService
10-01-2022 20:09:09.130 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.Controller.BrandController: 10
10-01-2022 20:09:09.131 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.131 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model.ClassProperties.fieldName
10-01-2022 20:09:09.131 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.Model.ClassProperties: 389
10-01-2022 20:09:09.132 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.132 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.Controller.BrandController.BrandController(opencart.Service.ServiceInt.BrandService,opencart.Service.ServiceInt.CustomerService,opencart.Service.ServiceInt.ProductService)
10-01-2022 20:09:09.132 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.Controller.BrandController: 10
10-01-2022 20:09:09.132 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.132 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model.NamedEntity.setModifiers(java.util.List<java.lang.String>)
10-01-2022 20:09:09.133 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.Model.NamedEntity: 412
10-01-2022 20:09:09.133 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.133 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model.Method
10-01-2022 20:09:09.133 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.Model: 388
10-01-2022 20:09:09.133 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.133 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model.NamedEntity.type
10-01-2022 20:09:09.133 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.Model.NamedEntity: 412
10-01-2022 20:09:09.134 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.134 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model
10-01-2022 20:09:09.134 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser: 387
10-01-2022 20:09:09.134 INFO  c.e.g.service.VersionCompare.applyCompare - 

10-01-2022 20:09:09.134 INFO  c.e.g.service.VersionCompare.applyCompare - opencart.ZParser.Model.ProjectProperties.packagePropertiesSet
10-01-2022 20:09:09.135 INFO  c.e.g.service.VersionCompare.applyCompare - Parent: opencart.ZParser.Model.ProjectProperties: 437
10-01-2022 20:09:09.135 INFO  c.e.g.service.VersionCompare.applyCompare - 

