10-01-2022 20:25:52.167 INFO  c.e.x.controller.XmlController.parseProjectByPath - Run into API: /pathParse
10-01-2022 20:25:52.188 INFO  c.e.x.controller.XmlController.parseProjectByPath - Start building xml tree...
10-01-2022 20:25:52.499 INFO  c.e.x.controller.XmlController.parseProjectByPath - Done parsing xml tree...
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Parsing xml nodes done in 376 ms!
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Recalculating xmlNode id by javaNode id...
10-01-2022 20:26:03.458 INFO  c.e.x.controller.XmlController.analyzeDependency - Run into API: /dependency
10-01-2022 20:26:03.461 INFO  c.e.x.controller.XmlController.analyzeDependency - Analyzing dependency...
10-01-2022 20:26:03.553 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\dialogRecoverPassword.xhtml\p:dialog:28:65\h:form:30:34\div:47:26\div:48:47\p:commandButton:54:85 with value menu
10-01-2022 20:26:03.554 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\dialogRecoverPassword.xhtml\p:dialog:28:65 with value messages
10-01-2022 20:26:03.555 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\dialogRecoverPassword.xhtml\p:dialog:28:65\h:form:30:34\div:38:26\div:39:47\p:outputLabel:41:84 with value messages
10-01-2022 20:26:03.555 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\error\401.xhtml\ui:composition:20:58\ui:define:25:31 with value messages
10-01-2022 20:26:03.555 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\error\401.xhtml\ui:composition:20:58\ui:define:28:31 with value messages
10-01-2022 20:26:03.555 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\error\404.xhtml\ui:composition:20:58\ui:define:25:31 with value messages
10-01-2022 20:26:03.556 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\error\404.xhtml\ui:composition:20:58\ui:define:28:31 with value messages
10-01-2022 20:26:03.556 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\error\500.xhtml\ui:composition:20:58\ui:define:28:31 with value messages
10-01-2022 20:26:03.556 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\error\500.xhtml\ui:composition:20:58\ui:define:25:31 with value messages
10-01-2022 20:26:03.556 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\index.xhtml\html:26:55\h:body:49:53\div:55:32\div:61:41\p:62:42 with value messages
10-01-2022 20:26:03.557 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\index.xhtml\html:26:55\h:body:49:53\div:55:32\div:61:41\h:form:63:58\div:85:38\div:91:47\p:commandButton:95:88 with value menu
10-01-2022 20:26:03.557 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\index.xhtml\html:26:55\h:body:49:53\div:55:32\div:61:41\h:form:63:58\div:85:38\div:86:74\p:commandLink:89:109 with value messages
10-01-2022 20:26:03.557 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\index.xhtml\html:26:55\h:body:49:53\div:55:32\div:61:41\h:form:63:58\div:67:58\p:inputText:74:89 with value messages
10-01-2022 20:26:03.557 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\index.xhtml\html:26:55\h:body:49:53\div:55:32\div:61:41\h:form:63:58\div:77:58\p:password:82:88 with value messages
10-01-2022 20:26:03.557 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\backToTop.xhtml\html:21:52\c:implementation:27:23\a:69:55 with value menu
